Month,Year,Immigrants 3,Net emigration 4 5,Net non-permanent residents 10 11 12,Total Immigration
1,2021,11668.33333,1593.666667,2568,15830
2,2021,11668.33333,1593.666667,2568,15830
3,2021,11668.33333,1593.666667,2568,15830
4,2021,12786,1306,1060,15152
5,2021,12786,1306,1060,15152
6,2021,12786,1306,1060,15152
7,2021,19662.66667,1230.666667,11170.33333,32063.66667
8,2021,19662.66667,1230.666667,11170.33333,32063.66667
9,2021,19662.66667,1230.666667,11170.33333,32063.66667
10,2021,22317.66667,1683.333333,-1511.666667,22489.33333
11,2021,22317.66667,1683.333333,-1511.666667,22489.33333
12,2021,22317.66667,1683.333333,-1511.666667,22489.33333
1,2022,16893,2704.666667,4855.666667,24453.33333
2,2022,16893,2704.666667,4855.666667,24453.33333
3,2022,16893,2704.666667,4855.666667,24453.33333
4,2022,16934.66667,1797.666667,21036,39768.33333
5,2022,16934.66667,1797.666667,21036,39768.33333
6,2022,16934.66667,1797.666667,21036,39768.33333
7,2022,16710.66667,1363.666667,33891.66667,51966
8,2022,16710.66667,1363.666667,33891.66667,51966
9,2022,16710.66667,1363.666667,33891.66667,51966
10,2022,11130,1837,29593,42560
11,2022,11130,1837,29593,42560
12,2022,11130,1837,29593,42560
1,2023,20286.66667,2818.666667,12017.66667,35123
2,2023,20286.66667,2818.666667,12017.66667,35123
3,2023,20286.66667,2818.666667,12017.66667,35123
4,2023,18316.66667,1872,33766.33333,53955
5,2023,18316.66667,1872,33766.33333,53955
6,2023,18316.66667,1872,33766.33333,53955
7,2023,15720.33333,1403.666667,50618.66667,67742.66667
8,2023,15720.33333,1403.666667,50618.66667,67742.66667
9,2023,15720.33333,1403.666667,50618.66667,67742.66667
10,2023,14630.66667,1891,29942,46463.66667
11,2023,14630.66667,1891,29942,46463.66667
12,2023,14630.66667,1891,29942,46463.66667
1,2024,17592,2902,18273.66667,38767.66667
2,2024,17592,2902,18273.66667,38767.66667
3,2024,17592,2902,18273.66667,38767.66667
4,2024,17942.66667,1927.666667,15411,35281.33333
5,2024,17942.66667,1927.666667,15411,35281.33333
6,2024,17942.66667,1927.666667,15411,35281.33333