date,max_temp_celsius,min_temp_celsius,precip_cm
2021-01-01,2.50,-1.00,0.68
2021-01-02,2.20,-0.90,1.08
2021-01-03,2.10,0.20,0.17
2021-01-04,1.70,-0.10,0.00
2021-01-05,1.60,0.60,0.04
2021-01-06,2.10,-0.30,0.00
2021-01-07,0.80,-4.80,0.00
2021-01-08,-1.30,-8.30,0.00
2021-01-09,4.10,-2.40,0.00
2021-01-10,2.10,-2.00,0.00
2021-01-11,1.20,-3.10,0.00
2021-01-12,0.00,-1.10,0.03
2021-01-13,3.60,-0.50,0.00
2021-01-14,5.20,1.70,0.00
2021-01-15,5.60,2.70,0.29
2021-01-16,5.00,-0.30,0.00
2021-01-17,5.10,-0.60,0.02
2021-01-18,1.20,-2.30,0.00
2021-01-19,2.20,-2.20,0.00
2021-01-20,-0.80,-7.10,0.00
2021-01-21,4.00,-0.80,0.01
2021-01-22,2.60,-6.40,0.03
2021-01-23,-4.00,-10.60,0.00
2021-01-24,-1.80,-6.20,0.00
2021-01-25,2.30,-2.10,0.00
2021-01-26,0.90,-3.90,0.87
2021-01-27,-2.50,-8.30,0.00
2021-01-28,-6.70,-12.10,0.00
2021-01-29,-6.60,-12.20,0.00
2021-01-30,-2.00,-10.50,0.00
2021-01-31,-4.20,-8.80,0.00
2021-02-01,-2.00,-9.60,0.00
2021-02-02,0.00,-7.70,0.00
2021-02-03,1.00,-5.90,0.00
2021-02-04,4.00,-3.90,0.09
2021-02-05,3.10,-6.60,0.23
2021-02-06,-5.10,-8.10,0.00
2021-02-07,-5.20,-11.60,0.08
2021-02-08,-5.70,-11.70,0.02
2021-02-09,-2.40,-8.80,0.03
2021-02-10,-4.20,-10.10,0.00
2021-02-11,-2.80,-9.80,0.00
2021-02-12,-8.10,-13.50,0.03
2021-02-13,-8.60,-11.80,0.16
2021-02-14,-3.00,-11.20,0.00
2021-02-15,-2.80,-8.40,0.54
2021-02-16,-6.40,-12.00,0.55
2021-02-17,-2.50,-12.70,0.00
2021-02-18,-2.60,-6.20,0.37
2021-02-19,-1.70,-5.60,0.24
2021-02-20,-0.90,-7.30,0.00
2021-02-21,0.10,-8.50,0.00
2021-02-22,3.50,-0.30,0.77
2021-02-23,5.30,0.20,0.05
2021-02-24,9.10,0.70,0.00
2021-02-25,2.20,-2.60,0.00
2021-02-26,3.30,-3.80,0.00
2021-02-27,6.40,1.00,0.65
2021-02-28,7.30,0.80,0.13
2021-03-01,6.50,-9.60,0.00
2021-03-02,1.00,-12.80,0.00
2021-03-03,8.00,-0.70,0.00
2021-03-04,1.80,-7.00,0.00
2021-03-05,1.70,-8.80,0.00
2021-03-06,-0.90,-6.60,0.00
2021-03-07,0.00,-7.80,0.00
2021-03-08,9.40,-6.40,0.00
2021-03-09,10.70,1.20,0.00
2021-03-10,14.10,3.20,0.00
2021-03-11,18.80,6.80,0.21
2021-03-12,12.40,-3.30,0.00
2021-03-13,6.10,-5.10,0.00
2021-03-14,3.80,-4.70,0.00
2021-03-15,-0.60,-7.80,0.00
2021-03-16,2.80,-1.20,0.00
2021-03-17,8.70,2.00,0.00
2021-03-18,8.00,-1.10,0.04
2021-03-19,3.50,-4.20,0.00
2021-03-20,13.00,-0.30,0.00
2021-03-21,15.60,2.30,0.00
2021-03-22,16.10,3.50,0.00
2021-03-23,15.10,6.10,0.00
2021-03-24,14.90,7.90,0.08
2021-03-25,19.60,8.50,0.10
2021-03-26,10.30,4.00,2.84
2021-03-27,7.50,4.20,0.00
2021-03-28,10.20,2.80,0.95
2021-03-29,7.30,0.20,0.00
2021-03-30,18.40,2.60,0.00
2021-03-31,14.70,1.10,0.00
2021-04-01,3.10,-1.70,0.00
2021-04-02,4.90,-3.50,0.00
2021-04-03,8.90,-1.90,0.03
2021-04-04,12.30,1.50,0.00
2021-04-05,12.60,7.00,0.00
2021-04-06,12.90,7.50,0.01
2021-04-07,15.70,8.00,0.00
2021-04-08,19.40,10.40,0.00
2021-04-09,16.90,12.50,0.08
2021-04-10,19.10,11.30,0.00
2021-04-11,16.50,10.20,1.63
2021-04-12,10.90,6.70,0.70
2021-04-13,14.10,7.10,0.00
2021-04-14,15.40,5.40,0.04
2021-04-15,8.80,5.10,0.08
2021-04-16,10.80,5.10,0.04
2021-04-17,12.10,3.90,0.00
2021-04-18,13.60,4.20,0.00
2021-04-19,16.30,4.90,0.07
2021-04-20,6.60,-0.40,0.12
2021-04-21,4.30,-1.40,0.40
2021-04-22,5.90,-0.70,0.00
2021-04-23,19.00,0.80,0.00
2021-04-24,16.80,7.90,0.00
2021-04-25,12.60,1.70,0.08
2021-04-26,8.20,0.20,0.14
2021-04-27,11.40,5.50,0.43
2021-04-28,16.70,8.30,0.70
2021-04-29,10.80,8.10,0.90
2021-04-30,9.70,4.80,0.00
2021-05-01,12.70,2.00,0.00
2021-05-02,17.00,9.00,0.01
2021-05-03,13.30,7.70,0.24
2021-05-04,11.70,7.20,0.15
2021-05-05,13.10,6.10,0.00
2021-05-06,12.80,4.60,0.00
2021-05-07,10.10,5.10,0.01
2021-05-08,14.50,4.40,0.05
2021-05-09,12.30,4.20,0.00
2021-05-10,15.20,3.70,0.00
2021-05-11,12.60,3.60,0.00
2021-05-12,18.00,6.30,0.00
2021-05-13,19.30,8.90,0.00
2021-05-14,21.40,8.50,0.00
2021-05-15,22.20,9.20,0.00
2021-05-16,22.70,11.70,0.00
2021-05-17,23.70,11.10,0.00
2021-05-18,26.60,13.30,0.00
2021-05-19,28.00,15.40,0.00
2021-05-20,30.20,18.00,0.00
2021-05-21,30.70,18.40,0.00
2021-05-22,28.00,20.40,0.02
2021-05-23,25.30,15.50,0.00
2021-05-24,20.90,13.00,0.00
2021-05-25,30.80,15.10,0.00
2021-05-26,25.60,11.70,0.24
2021-05-27,18.20,9.40,0.00
2021-05-28,11.10,3.10,1.35
2021-05-29,15.50,5.20,0.00
2021-05-30,18.70,8.40,0.00
2021-05-31,21.60,8.40,0.00
2021-06-01,24.80,14.60,0.00
2021-06-02,25.00,13.40,0.55
2021-06-03,21.40,14.80,0.33
2021-06-04,25.30,15.00,0.00
2021-06-05,32.40,17.80,0.00
2021-06-06,30.50,18.90,0.00
2021-06-07,29.60,19.10,0.00
2021-06-08,26.30,20.00,0.50
2021-06-09,28.80,20.60,0.00
2021-06-10,23.70,18.60,0.00
2021-06-11,23.60,17.70,0.00
2021-06-12,25.20,17.40,0.00
2021-06-13,26.90,16.70,0.43
2021-06-14,22.30,16.10,0.25
2021-06-15,22.90,15.50,0.00
2021-06-16,22.40,12.30,0.00
2021-06-17,24.10,11.10,0.00
2021-06-18,23.30,16.90,0.82
2021-06-19,30.80,17.00,0.32
2021-06-20,26.40,15.70,0.00
2021-06-21,28.90,12.70,0.54
2021-06-22,19.80,11.10,0.00
2021-06-23,22.90,10.60,0.00
2021-06-24,27.00,16.40,0.00
2021-06-25,24.40,18.60,1.27
2021-06-26,26.00,18.60,0.46
2021-06-27,29.10,20.70,0.00
2021-06-28,32.60,21.90,0.00
2021-06-29,30.10,20.50,2.50
2021-06-30,28.70,20.10,0.01
2021-07-01,25.50,17.60,0.00
2021-07-02,24.70,16.60,0.51
2021-07-03,24.60,15.40,0.00
2021-07-04,24.00,17.40,0.00
2021-07-05,29.30,18.90,0.01
2021-07-06,33.20,24.10,0.00
2021-07-07,25.10,16.30,0.56
2021-07-08,18.90,15.50,2.68
2021-07-09,20.10,17.00,0.13
2021-07-10,24.40,14.60,0.00
2021-07-11,20.90,18.10,0.09
2021-07-12,24.20,19.70,0.00
2021-07-13,26.70,20.50,0.63
2021-07-14,28.50,20.40,0.00
2021-07-15,28.30,19.80,0.92
2021-07-16,24.10,18.50,0.00
2021-07-17,21.60,18.90,0.43
2021-07-18,29.40,19.20,0.00
2021-07-19,30.00,20.40,0.00
2021-07-20,n/a,n/a,n/a
2021-07-21,25.70,16.30,0.00
2021-07-22,25.60,15.80,0.00
2021-07-23,25.50,15.50,0.00
2021-07-24,23.40,18.00,2.11
2021-07-25,30.60,18.00,0.00
2021-07-26,29.70,18.40,0.00
2021-07-27,24.70,18.70,0.90
2021-07-28,23.60,18.70,0.00
2021-07-29,25.60,19.00,1.21
2021-07-30,21.20,14.00,0.00
2021-07-31,20.70,12.90,0.01
2021-08-01,22.00,15.70,0.03
2021-08-02,24.20,14.30,0.00
2021-08-03,26.40,14.40,0.00
2021-08-04,27.30,16.60,0.00
2021-08-05,28.00,17.50,0.00
2021-08-06,28.60,18.60,0.00
2021-08-07,27.60,20.60,0.11
2021-08-08,27.40,20.70,0.00
2021-08-09,31.60,22.40,0.00
2021-08-10,27.60,23.70,0.05
2021-08-11,31.60,22.80,0.06
2021-08-12,29.60,22.20,0.09
2021-08-13,28.80,20.90,0.00
2021-08-14,26.50,16.60,0.00
2021-08-15,23.70,14.70,0.00
2021-08-16,24.00,17.00,0.00
2021-08-17,28.00,21.60,0.00
2021-08-18,27.40,21.40,0.08
2021-08-19,30.80,20.60,0.00
2021-08-20,29.80,19.20,0.00
2021-08-21,29.30,23.10,0.00
2021-08-22,29.90,21.60,0.00
2021-08-23,32.30,22.00,0.00
2021-08-24,31.10,20.00,0.00
2021-08-25,30.00,22.90,0.00
2021-08-26,32.70,22.70,0.04
2021-08-27,26.80,21.90,0.00
2021-08-28,27.20,20.10,0.44
2021-08-29,30.80,22.00,0.26
2021-08-30,30.20,20.00,0.00
2021-08-31,26.90,18.10,0.00
2021-09-01,25.10,17.30,0.00
2021-09-02,22.40,13.00,0.00
2021-09-03,22.60,13.00,0.00
2021-09-04,25.00,14.00,0.29
2021-09-05,27.80,18.20,0.23
2021-09-06,24.00,14.40,0.35
2021-09-07,25.30,13.60,2.18
2021-09-08,26.50,16.30,1.90
2021-09-09,22.20,14.80,0.02
2021-09-10,23.30,12.50,0.00
2021-09-11,25.70,14.00,0.00
2021-09-12,24.20,15.60,0.23
2021-09-13,22.40,13.30,0.00
2021-09-14,25.00,16.20,1.69
2021-09-15,22.70,16.70,0.00
2021-09-16,22.90,15.90,0.00
2021-09-17,26.20,16.60,0.00
2021-09-18,25.10,14.30,0.00
2021-09-19,21.10,14.10,0.00
2021-09-20,23.30,14.70,0.00
2021-09-21,25.50,19.30,0.62
2021-09-22,19.90,13.00,4.99
2021-09-23,18.70,13.20,0.42
2021-09-24,17.30,11.80,0.04
2021-09-25,21.00,11.00,0.34
2021-09-26,20.50,9.00,0.33
2021-09-27,24.70,14.30,0.23
2021-09-28,17.40,10.80,0.00
2021-09-29,20.80,10.50,0.00
2021-09-30,15.90,9.90,0.00
2021-10-01,18.60,10.10,0.00
2021-10-02,24.40,13.50,0.01
2021-10-03,19.40,15.30,2.28
2021-10-04,16.20,14.60,0.42
2021-10-05,18.50,14.80,0.00
2021-10-06,18.00,15.10,0.00
2021-10-07,19.70,16.00,0.00
2021-10-08,19.80,16.10,0.00
2021-10-09,19.90,17.40,0.71
2021-10-10,20.50,16.60,0.84
2021-10-11,22.10,17.00,0.00
2021-10-12,22.10,16.80,0.00
2021-10-13,21.60,16.00,0.00
2021-10-14,21.60,14.80,0.14
2021-10-15,19.80,14.80,2.04
2021-10-16,15.40,10.30,0.18
2021-10-17,15.20,9.40,0.02
2021-10-18,13.40,6.30,0.00
2021-10-19,21.10,5.90,0.00
2021-10-20,18.20,11.90,0.08
2021-10-21,17.20,9.40,0.26
2021-10-22,9.50,5.10,0.00
2021-10-23,10.00,4.60,0.00
2021-10-24,13.10,5.30,0.18
2021-10-25,9.50,5.40,1.88
2021-10-26,9.50,5.30,0.67
2021-10-27,16.70,9.00,0.00
2021-10-28,10.80,7.60,0.00
2021-10-29,13.30,9.10,1.52
2021-10-30,10.10,8.40,1.86
2021-10-31,15.30,8.10,0.00
2021-11-01,n/a,n/a,n/a
2021-11-02,9.20,2.80,0.01
2021-11-03,7.90,1.40,0.00
2021-11-04,8.80,1.30,0.00
2021-11-05,10.00,0.00,0.00
2021-11-06,11.60,2.00,0.00
2021-11-07,16.20,4.40,0.00
2021-11-08,17.30,6.00,0.00
2021-11-09,14.90,8.40,0.24
2021-11-10,13.20,4.10,0.00
2021-11-11,13.00,7.00,0.04
2021-11-12,13.10,6.40,0.30
2021-11-13,7.80,4.00,0.00
2021-11-14,5.60,2.00,0.94
2021-11-15,5.90,1.30,0.07
2021-11-16,n/a,n/a,n/a
2021-11-17,16.10,3.60,0.09
2021-11-18,14.50,2.40,0.02
2021-11-19,6.40,1.60,0.00
2021-11-20,6.80,1.50,0.03
2021-11-21,8.60,2.50,0.34
2021-11-22,4.90,-0.90,0.00
2021-11-23,4.00,-1.90,0.00
2021-11-24,8.00,-1.10,0.03
2021-11-25,7.60,4.80,0.90
2021-11-26,4.80,-1.80,0.00
2021-11-27,1.50,-3.20,0.00
2021-11-28,-0.10,-2.80,0.78
2021-11-29,1.10,-4.60,0.13
2021-11-30,3.70,-2.10,0.16
2021-12-01,5.80,1.70,0.00
2021-12-02,10.80,2.50,0.07
2021-12-03,2.60,0.50,0.00
2021-12-04,5.50,0.70,0.00
2021-12-05,4.80,-0.20,1.47
2021-12-06,10.30,-0.90,0.25
2021-12-07,-0.70,-5.00,0.00
2021-12-08,-1.00,-5.20,0.20
2021-12-09,2.20,-4.30,0.16
2021-12-10,6.30,2.20,0.00
2021-12-11,16.00,2.70,1.64
2021-12-12,7.20,0.70,0.03
2021-12-13,9.80,3.80,0.00
2021-12-14,6.30,2.30,0.00
2021-12-15,11.90,4.20,0.10
2021-12-16,15.20,5.50,0.00
2021-12-17,5.90,0.80,0.00
2021-12-18,1.40,-2.90,0.82
2021-12-19,-2.50,-5.30,0.00
2021-12-20,4.20,-5.30,0.00
2021-12-21,4.70,0.40,0.00
2021-12-22,4.60,-3.30,0.04
2021-12-23,0.10,-4.90,0.41
2021-12-24,3.80,-0.10,0.03
2021-12-25,7.40,3.30,0.48
2021-12-26,4.40,-4.90,0.00
2021-12-27,1.30,-5.30,0.19
2021-12-28,3.10,-0.10,0.03
2021-12-29,3.30,0.70,0.01
2021-12-30,3.50,1.70,0.00
2021-12-31,7.10,2.70,0.00
2022-01-01,5.10,-2.10,0.24
2022-01-02,-2.10,-10.50,0.20
2022-01-03,-4.00,-12.90,0.00
2022-01-04,3.30,-5.70,0.00
2022-01-05,4.90,-4.50,0.03
2022-01-06,-1.50,-6.30,0.00
2022-01-07,-4.50,-11.60,0.00
2022-01-08,1.90,-12.60,0.05
2022-01-09,4.30,-6.60,0.02
2022-01-10,-6.20,-17.40,0.01
2022-01-11,-1.70,-20.00,0.00
2022-01-12,2.40,-1.70,0.00
2022-01-13,2.00,-0.80,0.00
2022-01-14,-0.30,-18.10,0.00
2022-01-15,-12.60,-20.40,0.00
2022-01-16,0.30,-13.40,0.31
2022-01-17,-2.30,-5.00,3.62
2022-01-18,0.20,-10.10,0.08
2022-01-19,4.60,-7.30,0.00
2022-01-20,-7.30,-16.40,0.00
2022-01-21,-8.90,-17.70,0.01
2022-01-22,-3.80,-12.40,0.00
2022-01-23,-4.10,-14.50,0.01
2022-01-24,-3.80,-14.70,0.47
2022-01-25,-5.40,-12.30,0.00
2022-01-26,-8.60,-14.00,0.01
2022-01-27,-3.10,-9.00,0.00
2022-01-28,-3.20,-16.20,0.00
2022-01-29,-9.80,-18.60,0.00
2022-01-30,-4.20,-12.30,0.00
2022-01-31,-0.70,-5.70,0.00
2022-02-01,5.30,-2.40,0.00
2022-02-02,4.80,-2.60,1.26
2022-02-03,-2.10,-9.60,0.35
2022-02-04,-8.50,-12.10,0.07
2022-02-05,-6.30,-13.80,0.00
2022-02-06,0.20,-6.30,0.00
2022-02-07,3.30,-1.00,0.00
2022-02-08,1.00,-3.90,0.00
2022-02-09,5.40,-2.70,0.00
2022-02-10,3.60,0.30,0.00
2022-02-11,4.10,-0.10,0.35
2022-02-12,3.20,-12.70,0.06
2022-02-13,-8.30,-15.60,0.00
2022-02-14,-8.90,-15.30,0.00
2022-02-15,-2.50,-9.60,0.00
2022-02-16,8.90,-2.90,0.02
2022-02-17,8.00,-4.30,3.58
2022-02-18,-2.90,-10.30,0.23
2022-02-19,-1.30,-9.10,0.15
2022-02-20,7.50,-8.10,0.00
2022-02-21,6.70,0.00,0.00
2022-02-22,9.00,-0.10,0.94
2022-02-23,9.40,-9.40,0.00
2022-02-24,-5.40,-10.60,0.00
2022-02-25,-4.90,-9.90,0.40
2022-02-26,-1.40,-10.50,0.00
2022-02-27,1.50,-7.20,0.00
2022-02-28,-2.70,-11.10,0.00
2022-03-01,6.00,-2.70,0.00
2022-03-02,3.80,-4.00,0.05
2022-03-03,-4.00,-9.10,0.00
2022-03-04,1.80,-8.40,0.00
2022-03-05,3.70,-1.80,0.00
2022-03-06,17.30,3.20,0.19
2022-03-07,4.20,-0.50,0.54
2022-03-08,3.70,-2.00,0.00
2022-03-09,4.40,-0.20,0.00
2022-03-10,3.90,-1.20,0.00
2022-03-11,0.40,-2.50,0.41
2022-03-12,-1.80,-7.90,0.02
2022-03-13,0.80,-8.90,0.04
2022-03-14,7.00,-2.40,0.00
2022-03-15,3.00,0.90,1.08
2022-03-16,3.50,0.20,0.00
2022-03-17,16.10,0.80,0.00
2022-03-18,15.80,8.60,0.01
2022-03-19,8.80,4.60,0.63
2022-03-20,12.30,3.00,0.07
2022-03-21,14.50,1.80,0.00
2022-03-22,5.20,0.40,0.00
2022-03-23,3.80,1.40,1.95
2022-03-24,10.80,3.50,0.00
2022-03-25,6.70,3.70,0.00
2022-03-26,7.90,0.00,0.17
2022-03-27,0.00,-7.30,0.10
2022-03-28,-4.70,-10.10,0.00
2022-03-29,2.70,-6.80,0.00
2022-03-30,5.70,-1.90,0.30
2022-03-31,16.50,4.40,0.03
2022-04-01,4.40,-0.50,0.17
2022-04-02,5.80,-1.20,0.00
2022-04-03,7.60,1.30,0.00
2022-04-04,7.80,-0.10,0.00
2022-04-05,11.40,3.70,0.05
2022-04-06,11.20,7.40,0.55
2022-04-07,13.10,6.10,0.16
2022-04-08,9.90,3.50,0.10
