date,cpi_all,cpi_shelter
Jan-21,141,152.3
Feb-21,141.7,152.6
Mar-21,142.5,154.2
Apr-21,143.1,154.8
May-21,143.7,155.5
Jun-21,144.2,156.6
Jul-21,144.6,156.4
Aug-21,145,156.5
Sep-21,145.3,157.4
Oct-21,146.5,158.9
Nov-21,146.8,159.3
Dec-21,147.1,160.7
Jan-22,148.3,161.1
Feb-22,149.8,162.3
Mar-22,151.7,164.7
Apr-22,152.6,166.1
May-22,154.4,166.6
Jun-22,154.9,166.3
Jul-22,155.4,167.3
Aug-22,154.8,166.8
Sep-22,154.9,167.9
Oct-22,155.9,169.1
Nov-22,156.3,170.3
Dec-22,155.9,170.9
Jan-23,156.8,172.1
Feb-23,157.4,172.4
Mar-23,158.5,173.5
Apr-23,158.9,174
May-23,159.8,174.6
Jun-23,159.7,175.8
Jul-23,161.1,177
Aug-23,161.4,178.4
Sep-23,161.3,179
Oct-23,162.2,181.6
Nov-23,162.3,181.2
Dec-23,162.4,182.6
Jan-24,162,183.2
Feb-24,162.2,183.7
Mar-24,163.4,184.7
Apr-24,164,185.1
May-24,165.3,187
Jun-24,165.1,187.1
Jul-24,166.1,187.6
Aug-24,165.7,188.4
Sep-24,165.2,189.1