date,unemployment_rate
2021-01-01,0.084
2021-02-01,0.111
2021-03-01,0.103
2021-04-01,0.095
2021-05-01,0.096
2021-06-01,0.098
2021-07-01,0.098
2021-08-01,0.093
2021-09-01,0.089
2021-10-01,0.084
2021-11-01,0.077
2021-12-01,0.072
2022-01-01,0.077
2022-02-01,0.074
2022-03-01,0.072
2022-04-01,0.063
2022-05-01,0.062
2022-06-01,0.061
2022-07-01,0.059
2022-08-01,0.059
2022-09-01,0.06
2022-10-01,0.062
2022-11-01,0.063
2022-12-01,0.06
2023-01-01,0.06
2023-02-01,0.058
2023-03-01,0.058
2023-04-01,0.059
2023-05-01,0.059
2023-06-01,0.061
2023-07-01,0.064
2023-08-01,0.065
2023-09-01,0.065
2023-10-01,0.067
2023-11-01,0.066
2023-12-01,0.067
2024-01-01,0.068
2024-02-01,0.071
2024-03-01,0.075
2024-04-01,0.077
2024-05-01,0.079
2024-06-01,0.078
2024-07-01,0.077
2024-08-01,0.08
2024-09-01,0.08